name,address,postal_code,COMMUNE,nom_commune,domain_code,domain,subdomain_code,subdomain,type_code,type,geoloc_quality_code,longitude,latitude
L'ÎLE-D'ELLE,1 RUE DE LA MAIRIE,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A1,Services publics,A129,MAIRIE,11,-0.94699,46.32905
CAISSE DE CREDIT MUTUEL DE L'ILE D'ELLE,5 RUE NATIONALE,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A2,Services généraux,A203,"BANQUE, CAISSE D’ÉPARGNE",11,-0.94876,46.33101
L ILE D ELLE AP,6 B RUE DU COMMERCE,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A2,Services généraux,A208,AGENCE POSTALE,11,-0.94827,46.33076
DIFOMECA,RTE DE FONTENAY,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,11,-0.93751,46.32586
JM GUERINEAU,27 RUE DE LA FONTAINE,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,11,-0.9419,46.32827
GRELET KILLIAN,27 RUE NATIONALE,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,11,-0.94793,46.33266
VAGNON MAXIME,39 RUE DE BELLEVUE,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A4,Artisanat du bâtiment,A401,MAÇON,11,-0.95569,46.32597
SF MACONNERIE NELLEZAISE,1 RUE DU PRIEURE,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A4,Artisanat du bâtiment,A401,MAÇON,11,-0.94597,46.32944
GRASSET JEAN MICHEL,3 RUE DE L OISEAU BLEU,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A4,Artisanat du bâtiment,A401,MAÇON,11,-0.95214,46.32625
N. PIRES BTP,22 RUE DES FAUVETTES,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A4,Artisanat du bâtiment,A401,MAÇON,11,-0.94934,46.32716
JODET BRUNO,9 RUE DU MOULIN ROUGE,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.94783,46.32864
FUMOLANT JEAN,58 RUE NATIONALE,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,11,-0.94316,46.33389
GAY HERVE,4 PTR DES TORRANGES,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,33,-0.95642,46.32735
DE MORAIS DYLAN,2 RUE DES DAMES,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A4,Artisanat du bâtiment,A404,PLOMBIER COUVREUR CHAUFFAGISTE,11,-0.94947,46.33064
POELES & EVOLUTION,3 RUE DE LA FUYE,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A4,Artisanat du bâtiment,A404,PLOMBIER COUVREUR CHAUFFAGISTE,11,-0.9473,46.33083
VERGEREAU FREDY,43 RUE NATIONALE,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A4,Artisanat du bâtiment,A405,ÉLECTRICIEN,11,-0.94731,46.33368
MACONNERIE MACAUD,48 RUE DES FAIENCIERS,85770,85111,L'ÎLE-D'ELLE,A,Services aux particuliers,A4,Artisanat du bâtiment,A406,ENTREPRISE GÉNÉRALE DU BÂTIMENT,11,-0.95418,46.32891
