COMMUNE,jobs_total,jobs_salaried,jobs_salaried_female,jobs_salaried_parttime,jobs_nonsalaried,jobs_nonsalaried_female,jobs_nonsalaried_parttime,jobs_cs1_agriculteurs,jobs_cs2_artisans_commercants_chefs_entr,jobs_cs3_cadres_prof_intel_sup,jobs_cs4_prof_intermediaires,jobs_cs5_employes,jobs_cs6_ouvriers,jobs_agriculture,jobs_industry,jobs_construction,jobs_commerce_transport_services,jobs_public_admin_education_health
17003,1869.4,1574.0,688.4,273.7,295.4,117.7,44.4,16.1,157.0,207.3,488.2,457.9,544.9,16.1,526.7,130.7,673.2,524.7
17007,21.4,11.2,5.0,1.0,10.2,2.0,0.0,0.0,5.1,0.0,5.1,5.1,5.0,0.0,0.0,10.2,10.1,0.0
17008,360.4,251.1,147.1,51.0,109.2,33.5,2.1,10.3,81.2,24.3,121.6,100.1,35.4,10.3,24.7,51.5,149.4,136.9
17009,109.8,62.7,40.4,9.4,47.1,18.3,4.6,4.6,51.0,17.7,48.0,32.7,13.9,4.6,24.7,22.5,54.5,61.6
17010,1707.1,1459.4,840.2,304.6,247.7,108.2,33.6,4.7,135.3,133.1,447.6,775.6,194.1,50.7,42.2,31.7,1229.5,336.2
17018,62.3,42.0,30.7,12.3,20.4,6.2,4.1,4.9,20.1,0.0,20.2,19.6,5.1,10.0,0.0,15.2,15.0,29.7
17028,6559.4,5909.9,2303.2,633.5,649.5,215.8,76.5,0.0,360.3,1277.1,2115.2,1246.4,1624.5,0.0,1151.6,801.6,3554.1,1116.3
17032,65.4,27.8,13.1,8.1,37.5,12.2,6.1,10.2,20.5,20.2,13.7,25.8,5.2,15.4,0.0,5.2,49.2,25.8
17041,193.0,123.5,99.1,36.8,69.5,29.6,7.5,0.0,41.4,14.5,29.1,57.9,14.9,10.3,4.6,18.3,23.1,101.5
17057,167.1,142.0,103.9,20.2,25.2,8.0,2.0,0.0,15.0,0.0,40.5,59.7,58.6,0.0,9.9,18.7,9.7,135.4
17059,108.2,75.2,56.7,17.2,33.0,17.0,7.5,0.0,21.6,22.6,16.2,5.5,15.2,0.0,10.7,15.9,33.1,21.4
17063,45.3,21.7,14.7,10.1,23.7,4.9,1.0,15.1,20.6,5.1,5.0,18.3,0.0,30.1,10.3,5.3,5.1,13.3
17080,177.0,130.8,93.6,43.8,46.2,12.5,2.1,19.9,21.1,19.2,36.3,47.0,20.2,25.0,15.9,21.1,15.4,86.2
17091,349.9,226.3,126.8,34.2,123.6,41.8,16.1,45.2,54.8,10.2,54.9,118.0,91.7,101.3,20.1,30.3,74.8,148.3
17094,1824.4,1472.2,881.5,249.6,352.2,160.2,60.2,0.0,209.2,339.5,569.6,563.3,243.2,24.3,69.9,93.4,973.1,764.2
17107,185.4,119.4,82.1,42.4,66.0,21.3,9.0,13.5,9.3,18.9,34.3,69.6,32.6,18.0,3.4,9.5,57.2,90.0
17109,155.3,107.3,82.2,40.0,47.9,24.9,7.0,16.4,39.9,14.7,40.0,40.4,23.7,16.4,20.1,33.8,29.7,75.1
17127,435.6,350.1,227.3,88.4,85.5,41.1,10.6,9.4,48.2,107.9,118.7,154.4,35.2,4.7,5.0,29.1,153.0,282.0
17132,76.8,50.8,16.8,7.9,26.0,8.0,2.0,15.4,10.3,5.1,9.3,0.0,24.5,20.2,0.0,30.2,10.3,3.9
17136,93.8,51.9,36.2,17.9,41.9,19.7,4.7,0.0,22.8,15.1,20.0,44.4,29.5,0.0,4.6,14.7,63.2,49.3
17142,1328.8,1073.3,548.3,209.9,255.5,78.0,21.4,31.8,227.1,145.7,397.2,397.6,300.1,77.4,67.3,308.1,574.9,471.8
17153,208.5,141.8,93.6,33.5,66.8,26.0,4.1,0.0,15.0,30.2,36.5,49.6,30.0,0.0,14.9,25.2,49.6,71.6
17158,343.6,273.1,157.7,36.0,70.5,16.5,10.3,0.0,105.4,39.0,51.2,143.6,95.6,0.0,53.9,67.2,253.0,60.5
17166,167.5,128.1,68.1,40.6,39.4,11.1,2.0,5.1,5.4,0.0,70.8,20.5,51.8,10.3,40.4,0.0,26.4,76.5
17174,87.7,46.8,20.8,10.9,41.0,10.2,5.1,17.0,36.1,6.4,5.5,15.0,20.2,21.8,0.0,30.9,25.3,22.1
17182,61.9,43.4,27.7,13.7,18.6,8.9,5.0,4.8,19.1,5.0,0.0,4.8,20.0,4.8,0.0,14.8,24.2,9.9
17186,109.1,70.3,47.0,13.8,38.8,9.2,4.0,15.2,30.6,9.7,26.3,55.2,19.5,15.2,9.7,9.9,56.0,65.7
17190,471.9,361.5,200.6,87.0,110.3,56.0,13.6,0.0,64.1,59.9,91.9,137.3,125.0,29.4,23.4,108.0,179.8,137.7
17193,458.6,353.9,187.3,57.5,104.8,43.4,16.1,15.2,42.1,79.2,95.2,87.4,57.7,15.2,30.1,33.6,145.4,152.6
17194,534.7,416.1,217.2,78.4,118.6,51.6,15.2,10.2,48.3,89.1,110.1,148.2,108.5,23.7,51.4,69.9,193.2,176.2
17200,3853.6,3405.5,1882.0,491.9,448.1,214.4,78.6,9.9,261.0,569.5,1071.2,1206.1,575.9,14.5,274.4,132.4,2260.4,1012.0
17201,43.2,27.7,14.7,9.7,15.5,3.9,0.0,0.0,9.9,4.9,5.2,9.6,5.1,0.0,0.0,9.9,4.7,20.1
17203,63.9,32.6,17.0,8.0,31.2,10.7,2.9,9.6,9.7,4.3,4.8,5.0,4.8,14.5,9.1,0.0,9.8,4.9
17208,83.1,45.0,23.7,8.7,38.1,13.3,1.8,10.0,29.5,5.0,55.3,19.0,14.5,24.8,10.0,20.4,52.6,25.4
17218,1822.5,1554.0,791.1,259.4,268.5,95.5,28.0,34.7,184.8,189.4,407.1,446.0,584.5,69.9,550.1,120.1,649.0,457.3
17221,84.8,40.6,30.6,16.8,44.3,12.1,4.0,31.1,5.3,20.5,15.7,0.0,25.1,36.1,15.4,5.1,25.5,15.6
17222,366.4,239.2,107.0,50.0,127.2,49.4,16.8,26.3,123.9,40.8,103.9,86.2,81.2,35.4,21.8,65.9,257.0,82.1
17245,58.7,39.6,28.8,15.4,19.1,6.7,2.7,10.8,9.9,4.9,15.1,18.8,10.4,10.8,4.4,14.9,18.5,21.2
17264,935.9,666.1,346.5,113.3,269.7,127.5,39.1,20.1,165.9,164.9,189.9,278.0,113.1,30.4,24.4,135.9,471.5,269.8
17267,146.6,85.5,63.4,25.6,61.0,20.4,11.7,4.8,39.2,43.3,28.9,39.5,14.0,4.8,19.8,13.7,58.0,73.4
17274,7988.9,7438.1,3171.0,729.4,550.8,178.7,73.0,21.2,339.7,1079.8,2473.0,1610.4,2263.3,20.4,1659.2,841.8,4035.8,1230.2
17291,3915.8,3496.6,2031.1,652.8,419.2,156.0,33.4,15.0,252.8,348.3,967.0,1714.3,471.1,30.3,134.8,85.9,2652.4,865.1
17293,66.7,33.3,17.3,10.4,33.4,11.2,1.0,10.0,5.0,0.0,0.0,25.5,10.0,10.0,0.0,15.0,0.0,25.5
17300,49356.3,42141.5,22282.2,7173.2,7214.8,2854.4,1276.1,92.0,3787.1,9029.2,14877.2,14030.2,8103.2,236.4,4122.6,2477.1,23918.5,19164.4
17303,117.1,64.2,44.5,18.8,52.9,18.0,7.0,5.0,40.0,0.0,9.8,46.3,9.9,5.0,5.1,9.9,55.5,35.5
