COMMUNE,nom_commune,jobs_1999,jobs_2007,jobs_2008,jobs_2009,jobs_2010,jobs_2011,jobs_2012,jobs_2013,jobs_2014,jobs_2015,jobs_2016,jobs_2017,jobs_2018,jobs_2019,jobs_2020,jobs_2021,jobs_2022,change_pct_1999_2022,change_pct_2012_2022
17003,Aigrefeuille-d'Aunis,1261.0,1608.5,1667.1,1704.6,1705.8,1623.0,1610.4,1614.8,1624.0,1637.4,1607.2,1672.1,1752.3,1765.9,1806.3,1869.4,1914.8,51.8,18.9
17007,Anais,45.0,40.6,43.3,46.7,51.9,49.2,42.8,42.2,39.3,37.1,35.8,22.3,22.2,22.1,23.3,21.4,22.5,-50.0,-47.4
17008,Andilly,276.0,385.6,389.6,384.1,387.3,372.8,368.1,370.9,325.4,333.6,330.7,303.0,314.3,317.3,356.3,360.4,401.3,45.4,9.0
17009,Angliers,45.0,63.9,68.3,70.5,66.0,71.0,78.0,87.0,89.8,104.3,103.3,98.3,97.4,100.9,116.0,109.8,128.8,186.2,65.1
17010,Angoulins,1246.0,1505.6,1511.1,1517.4,1526.5,1538.9,1482.9,1500.5,1515.7,1556.7,1597.0,1583.3,1583.1,1602.3,1646.7,1707.1,1739.0,39.6,17.3
17018,Ardillières,66.0,59.7,57.9,57.8,59.5,61.3,78.1,79.7,81.3,86.1,89.8,65.9,69.0,69.5,66.0,62.3,59.5,-9.8,-23.8
17028,Aytré,4744.0,6092.6,6230.7,6418.3,6632.8,6854.3,6847.8,6721.7,6555.2,6275.4,6162.7,6066.4,6120.4,6189.0,6330.4,6559.4,6781.4,42.9,-1.0
17032,Ballon,58.0,68.8,68.4,69.6,73.7,78.7,75.8,83.4,84.1,80.1,75.4,74.5,53.5,53.8,57.9,65.4,73.3,26.4,-3.3
17041,Benon,114.0,108.4,118.2,130.4,126.9,159.2,170.9,182.6,186.1,209.0,217.6,218.0,216.6,219.9,220.3,193.0,196.2,72.1,14.8
17057,Bouhet,94.0,124.9,141.3,138.0,140.3,142.6,144.2,140.0,145.4,141.4,164.2,156.1,155.7,156.6,165.6,167.1,184.6,96.4,28.0
17059,Bourgneuf,73.0,89.3,93.2,95.5,93.9,100.2,98.1,98.4,97.5,97.1,98.6,99.4,99.1,101.5,101.1,108.2,121.4,66.3,23.8
17063,Breuil-la-Réorte,61.0,55.3,56.1,47.0,48.3,55.7,56.3,59.4,56.4,54.8,52.1,57.3,58.0,57.9,42.6,45.3,43.3,-29.0,-23.1
17080,Chambon,217.0,268.5,273.6,280.5,273.5,255.5,253.6,248.3,240.0,233.3,204.6,162.3,153.6,155.2,163.8,177.0,230.6,6.3,-9.1
17091,Charron,334.0,403.9,412.7,439.4,455.3,408.1,395.6,386.2,368.7,361.1,354.2,355.4,322.8,324.6,351.1,349.9,366.8,9.8,-7.3
17094,Châtelaillon-Plage,1418.0,1606.7,1701.5,1720.3,1755.1,1769.4,1786.8,1754.1,1736.5,1693.2,1706.4,1738.6,1760.6,1776.7,1839.2,1824.4,1856.6,30.9,3.9
17107,Ciré-d'Aunis,161.0,200.5,204.6,199.8,186.3,196.1,195.2,200.7,208.7,197.9,197.6,192.6,198.1,204.4,218.1,185.4,183.0,13.7,-6.2
17109,Clavette,141.0,116.2,117.6,128.5,116.5,126.3,130.6,141.2,135.3,170.8,179.9,184.7,189.9,191.9,185.9,155.3,145.0,2.8,11.0
17127,Courçon,364.0,413.0,433.3,462.3,443.2,431.3,428.2,432.3,399.3,393.2,412.0,420.2,408.8,413.4,414.4,435.6,443.2,21.8,3.5
17132,Cram-Chaban,88.0,105.9,93.1,97.0,98.9,101.7,108.4,101.8,100.5,90.4,82.2,81.9,75.4,75.7,76.4,76.8,78.2,-11.1,-27.9
17136,Croix-Chapeau,86.0,104.3,102.8,105.7,107.8,119.2,119.3,121.2,123.6,138.1,127.7,125.1,129.0,130.9,123.7,93.8,101.3,17.8,-15.1
17142,Dompierre-sur-Mer,709.0,922.5,941.3,946.7,970.5,992.0,1028.9,1071.6,1079.1,1091.4,1108.3,1109.9,1140.6,1158.6,1251.2,1328.8,1467.2,106.9,42.6
17153,Esnandes,193.0,216.2,215.4,226.4,232.7,233.5,229.1,218.3,215.2,220.6,230.6,230.6,215.4,216.8,210.7,208.5,209.3,8.4,-8.6
17158,Ferrières,39.0,90.2,103.9,100.5,115.9,129.9,133.1,139.0,174.0,175.7,213.9,236.9,245.7,254.3,286.7,343.6,421.0,979.5,216.3
17166,Forges,124.0,152.7,155.9,158.4,157.9,171.2,167.6,170.8,170.4,179.1,158.3,164.1,166.8,167.7,165.8,167.5,188.7,52.2,12.6
17174,Genouillé,81.0,90.2,91.5,95.8,90.4,90.2,92.0,94.2,101.8,112.0,111.0,111.3,108.4,110.1,106.4,87.7,88.2,8.9,-4.1
17182,La Grève-sur-Mignon,50.0,39.0,42.6,43.1,46.8,45.8,53.0,62.4,73.2,70.0,74.5,76.2,73.1,72.9,63.2,61.9,63.1,26.2,19.1
17186,Le Gué-d'Alleré,56.0,82.2,81.6,84.5,81.4,88.2,95.5,100.2,102.7,110.2,115.9,101.6,102.1,103.6,114.9,109.1,106.4,90.0,11.4
17190,L'Houmeau,370.0,461.5,459.1,466.9,479.9,479.2,515.5,533.4,522.4,492.9,513.4,486.8,465.4,470.7,504.5,471.9,470.0,27.0,-8.8
17193,La Jarne,238.0,363.0,365.3,424.0,409.9,438.5,463.7,498.0,445.0,461.2,457.7,448.6,432.8,437.7,457.0,458.6,478.5,101.1,3.2
17194,La Jarrie,481.0,496.5,493.9,520.5,520.3,544.9,538.7,558.2,558.5,574.0,544.7,558.9,488.3,493.4,516.4,534.7,568.9,18.3,5.6
