IRIS,year,energy_type,sites,consumption_mwh,consumption_avg_mwh_per_site,population_2024,electric_heating_share_pct,residences_principales_2024,dpe_de_count_2024,dpe_fg_count_2024
170030000,2011,electricity,1964,13574.6,6.91,4479,49.0,1874,1188,150
170030000,2012,electricity,2005,14938.0,7.45,4479,49.0,1874,1188,150
170030000,2013,electricity,2058,15613.0,7.59,4479,49.0,1874,1188,150
170030000,2014,electricity,2095,14171.1,6.76,4479,49.0,1874,1188,150
170030000,2015,electricity,2135,15092.9,7.07,4479,49.0,1874,1188,150
170030000,2016,electricity,2166,15643.7,7.22,4479,49.0,1874,1188,150
170030000,2017,electricity,2208,15421.1,6.98,4479,49.0,1874,1188,150
170030000,2018,electricity,2002,13180.7,6.58,4479,49.0,1874,1188,150
170030000,2019,electricity,2094,13168.8,6.29,4479,49.0,1874,1188,150
170030000,2020,electricity,2161,13743.6,6.36,4479,49.0,1874,1188,150
170030000,2021,electricity,2243,14766.8,6.58,4479,49.0,1874,1188,150
170030000,2022,electricity,2294,13650.5,5.95,4479,49.0,1874,1188,150
170030000,2023,electricity,2331,13399.3,5.75,4479,49.0,1874,1188,150
170030000,2024,electricity,2370,13249.1,5.59,4479,49.0,1874,1188,150
170030000,2011,gas,401,5713.0,14.25,4479,49.0,1874,1188,150
170030000,2012,gas,402,6611.0,16.45,4479,49.0,1874,1188,150
170030000,2013,gas,404,6743.0,16.69,4479,49.0,1874,1188,150
170030000,2014,gas,409,5429.0,13.27,4479,49.0,1874,1188,150
170030000,2015,gas,417,5956.0,14.28,4479,49.0,1874,1188,150
170030000,2016,gas,417,6412.0,15.38,4479,49.0,1874,1188,150
170030000,2017,gas,419,6211.0,14.82,4479,49.0,1874,1188,150
170030000,2018,gas,404,5343.5,13.23,4479,49.0,1874,1188,150
170030000,2019,gas,407,5257.1,12.92,4479,49.0,1874,1188,150
170030000,2020,gas,407,5037.7,12.38,4479,49.0,1874,1188,150
170030000,2021,gas,406,5354.0,13.19,4479,49.0,1874,1188,150
170030000,2022,gas,397,4090.9,10.3,4479,49.0,1874,1188,150
170030000,2023,gas,390,3792.3,9.72,4479,49.0,1874,1188,150
170030000,2024,gas,372,3619.2,9.73,4479,49.0,1874,1188,150
170070000,2011,electricity,175,1329.5,7.6,316,35.6,131,83,10
170070000,2012,electricity,175,1383.5,7.91,316,35.6,131,83,10
170070000,2013,electricity,174,1444.3,8.3,316,35.6,131,83,10
