COMMUNE,nom_commune,longitude,latitude,population_2026
17003,Aigrefeuille-d'Aunis,-0.9491,46.1199,4748
17007,Anais,-0.9012,46.1774,317
17008,Andilly,-1.0157,46.2615,2405
17009,Angliers,-0.9499,46.2049,1462
17010,Angoulins,-1.11,46.1083,4339
17018,Ardillières,-0.8937,46.0449,901
17028,Aytré,-1.1146,46.1312,9881
17032,Ballon,-0.9705,46.0541,846
17041,Benon,-0.7938,46.2004,1876
17057,Bouhet,-0.8526,46.1625,920
17059,Bourgneuf,-1.0224,46.1672,1493
17063,Breuil-la-Réorte,-0.6923,46.0631,480
17080,Chambon,-0.8413,46.1091,993
17091,Charron,-1.0737,46.2933,2048
17094,Châtelaillon-Plage,-1.0804,46.0738,6750
17107,Ciré-d'Aunis,-0.9346,46.041,1604
17109,Clavette,-1.0354,46.1444,1424
17127,Courçon,-0.7928,46.2573,2113
17132,Cram-Chaban,-0.7159,46.2198,670
17136,Croix-Chapeau,-0.9985,46.1023,1434
17142,Dompierre-sur-Mer,-1.0654,46.188,6486
17153,Esnandes,-1.1169,46.2471,2260
17158,Ferrières,-0.8576,46.2264,1589
17166,Forges,-0.8924,46.1108,1327
17174,Genouillé,-0.7757,46.0236,884
17190,L'Houmeau,-1.1841,46.1935,3048
17457,La Devise,-0.7346,46.0464,1200
17182,La Grève-sur-Mignon,-0.7604,46.2507,582
17193,La Jarne,-1.074,46.1215,2695
17194,La Jarrie,-1.0107,46.1221,3532
17201,La Laigne,-0.7562,46.2168,504
17300,La Rochelle,-1.1765,46.162,81843
17303,La Ronde,-0.7889,46.3023,1009
17200,Lagord,-1.1522,46.1851,7945
17203,Landrais,-0.8622,46.0681,809
17186,Le Gué-d'Alleré,-0.8708,46.1862,1127
17447,Le Thou,-0.9363,46.0845,2146
17208,Longèves,-0.9755,46.2408,1065
17218,Marans,-0.9891,46.3139,4540
17221,Marsais,-0.6141,46.1213,1000
17222,Marsilly,-1.1375,46.2289,3258
17245,Montroy,-1.02,46.1547,977
17264,Nieul-sur-Mer,-1.1631,46.2097,5884
17267,Nuaillé-d'Aunis,-0.9264,46.2384,1297
17291,Puilboreau,-1.1146,46.1849,6875
17293,Puyravault,-0.8181,46.1387,765
17274,Périgny,-1.0798,46.1559,9055
17315,Saint-Christophe,-0.9502,46.1477,1444
17321,Saint-Crépin,-0.7415,45.9974,348
17322,Saint-Cyr-du-Doret,-0.8222,46.2661,687
17338,Saint-Georges-du-Bois,-0.7345,46.1547,1903
17349,Saint-Jean-de-Liversay,-0.8821,46.2822,3107
17359,Saint-Mard,-0.6961,46.0931,1288
17373,Saint-Médard-d'Aunis,-0.9625,46.157,2457
17376,Saint-Ouen-d'Aunis,-1.0268,46.232,2182
17382,Saint-Pierre-d'Amilly,-0.6984,46.173,586
17340,Saint-Pierre-la-Noue,-0.799,46.072,1579
17391,Saint-Rogatien,-1.0585,46.1462,2414
17394,Saint-Saturnin-du-Bois,-0.6581,46.1399,930
17396,Saint-Sauveur-d'Aunis,-0.8945,46.2131,2053
17413,Saint-Vivien,-1.0504,46.0771,1460
17414,Saint-Xandre,-1.0924,46.2131,5806
17407,Sainte-Soulle,-1.006,46.1966,5133
17420,Salles-sur-Mer,-1.0518,46.103,2523
17434,Surgères,-0.7514,46.0985,7152
17439,Taugon,-0.8304,46.3162,781
17443,Thairé,-1.0074,46.0775,1939
17472,Villedoux,-1.0702,46.2413,2195
17480,Virson,-0.8835,46.1406,747
17482,Vouhé,-0.7994,46.1493,691
17466,Vérines,-0.9672,46.1984,2421
17483,Yves,-1.0384,46.0354,1611
