COMMUNE,nom_commune
17003,Aigrefeuille-d'Aunis
17007,Anais
17008,Andilly
17009,Angliers
17010,Angoulins
17018,Ardillières
17028,Aytré
17032,Ballon
17041,Benon
17057,Bouhet
17059,Bourgneuf
17063,Breuil-la-Réorte
17080,Chambon
17091,Charron
17094,Châtelaillon-Plage
17107,Ciré-d'Aunis
17109,Clavette
17127,Courçon
17132,Cram-Chaban
17136,Croix-Chapeau
17142,Dompierre-sur-Mer
17153,Esnandes
17158,Ferrières
17166,Forges
17174,Genouillé
17182,La Grève-sur-Mignon
17186,Le Gué-d'Alleré
17190,L'Houmeau
17193,La Jarne
17194,La Jarrie
17200,Lagord
17201,La Laigne
17203,Landrais
17208,Longèves
17218,Marans
17221,Marsais
17222,Marsilly
17245,Montroy
17264,Nieul-sur-Mer
17267,Nuaillé-d'Aunis
17274,Périgny
17291,Puilboreau
17293,Puyravault
17300,La Rochelle
17303,La Ronde
17315,Saint-Christophe
17321,Saint-Crépin
17322,Saint-Cyr-du-Doret
17338,Saint-Georges-du-Bois
17340,Saint-Pierre-la-Noue
17349,Saint-Jean-de-Liversay
17359,Saint-Mard
17373,Saint-Médard-d'Aunis
17376,Saint-Ouen-d'Aunis
17382,Saint-Pierre-d'Amilly
17391,Saint-Rogatien
17394,Saint-Saturnin-du-Bois
17396,Saint-Sauveur-d'Aunis
17407,Sainte-Soulle
17413,Saint-Vivien
17414,Saint-Xandre
17420,Salles-sur-Mer
17434,Surgères
17439,Taugon
17443,Thairé
17447,Le Thou
17457,La Devise
17466,Vérines
17472,Villedoux
17480,Virson
17482,Vouhé
17483,Yves
