COMMUNE,nom_commune,longitude,latitude
17003,Aigrefeuille-d'Aunis,-0.9491,46.1199
17007,Anais,-0.9012,46.1774
17008,Andilly,-1.0157,46.2615
17009,Angliers,-0.9499,46.2049
17010,Angoulins,-1.11,46.1083
17018,Ardillières,-0.8937,46.0449
17028,Aytré,-1.1146,46.1312
17032,Ballon,-0.9705,46.0541
17041,Benon,-0.7938,46.2004
17057,Bouhet,-0.8526,46.1625
17059,Bourgneuf,-1.0224,46.1672
17063,Breuil-la-Réorte,-0.6923,46.0631
17080,Chambon,-0.8413,46.1091
17091,Charron,-1.0737,46.2933
17094,Châtelaillon-Plage,-1.0804,46.0738
17107,Ciré-d'Aunis,-0.9346,46.041
17109,Clavette,-1.0354,46.1444
17127,Courçon,-0.7928,46.2573
17132,Cram-Chaban,-0.7159,46.2198
17136,Croix-Chapeau,-0.9985,46.1023
17142,Dompierre-sur-Mer,-1.0654,46.188
17153,Esnandes,-1.1169,46.2471
17158,Ferrières,-0.8576,46.2264
17166,Forges,-0.8924,46.1108
17174,Genouillé,-0.7757,46.0236
17182,La Grève-sur-Mignon,-0.7604,46.2507
17186,Le Gué-d'Alleré,-0.8708,46.1862
17190,L'Houmeau,-1.1841,46.1935
17193,La Jarne,-1.074,46.1215
17194,La Jarrie,-1.0107,46.1221
17200,Lagord,-1.1522,46.1851
17201,La Laigne,-0.7562,46.2168
17203,Landrais,-0.8622,46.0681
17208,Longèves,-0.9755,46.2408
17218,Marans,-0.9891,46.3139
17221,Marsais,-0.6141,46.1213
17222,Marsilly,-1.1375,46.2289
17245,Montroy,-1.02,46.1547
17264,Nieul-sur-Mer,-1.1631,46.2097
17267,Nuaillé-d'Aunis,-0.9264,46.2384
17274,Périgny,-1.0798,46.1559
17291,Puilboreau,-1.1146,46.1849
17293,Puyravault,-0.8181,46.1387
17300,La Rochelle,-1.1765,46.162
17303,La Ronde,-0.7889,46.3023
17315,Saint-Christophe,-0.9502,46.1477
17321,Saint-Crépin,-0.7415,45.9974
17322,Saint-Cyr-du-Doret,-0.8222,46.2661
17338,Saint-Georges-du-Bois,-0.7345,46.1547
17340,Saint-Pierre-la-Noue,-0.799,46.072
17349,Saint-Jean-de-Liversay,-0.8821,46.2822
17359,Saint-Mard,-0.6961,46.0931
17373,Saint-Médard-d'Aunis,-0.9625,46.157
17376,Saint-Ouen-d'Aunis,-1.0268,46.232
17382,Saint-Pierre-d'Amilly,-0.6984,46.173
17391,Saint-Rogatien,-1.0585,46.1462
17394,Saint-Saturnin-du-Bois,-0.6581,46.1399
17396,Saint-Sauveur-d'Aunis,-0.8945,46.2131
17407,Sainte-Soulle,-1.006,46.1966
17413,Saint-Vivien,-1.0504,46.0771
17414,Saint-Xandre,-1.0924,46.2131
17420,Salles-sur-Mer,-1.0518,46.103
17434,Surgères,-0.7514,46.0985
17439,Taugon,-0.8304,46.3162
17443,Thairé,-1.0074,46.0775
17447,Le Thou,-0.9363,46.0845
17457,La Devise,-0.7346,46.0464
17466,Vérines,-0.9672,46.1984
17472,Villedoux,-1.0702,46.2413
17480,Virson,-0.8835,46.1406
17482,Vouhé,-0.7994,46.1493
17483,Yves,-1.0384,46.0354
