COMMUNE,median_income_eur,poverty_rate_pct,income_q1_eur,income_q3_eur,income_d1_eur,income_d9_eur,d9_d1_ratio,gini_index,income_share_activity_pct,income_share_pensions_pct,income_share_social_benefits_pct,income_share_taxes_pct
17003,23520,7.0,18990,29070,14970,36390,2.4,0.209,68.3,34.4,3.9,-14.1
17007,23820,,,,,,,,,,,
17008,24260,,19820,29350,16170,34970,2.2,0.184,77.8,27.0,3.6,-14.2
17009,24040,,,,,,,,,,,
17010,26700,8.0,20100,34540,14730,45500,3.1,0.282,59.9,41.6,3.1,-17.9
17018,22010,,,,,,,,,,,
17028,22830,12.0,17510,29750,13220,37840,2.9,0.243,70.2,32.1,5.3,-14.9
17032,22990,,,,,,,,,,,
17041,22510,,,,,,,,,,,
17057,22390,,,,,,,,,,,
17059,26290,,,,,,,,,,,
17063,21360,,,,,,,,,,,
17080,22220,,,,,,,,,,,
17091,23250,,19060,29810,14650,37100,2.5,0.214,76.2,27.6,4.0,-14.2
17094,26120,8.0,19500,34610,14580,46760,3.2,0.280,52.2,49.6,3.0,-17.8
17107,22200,,,,,,,,,,,
17109,25660,,,,,,,,,,,
17127,21530,11.0,17230,26920,13520,32480,2.4,0.209,74.9,26.1,6.3,-12.9
17132,21800,,,,,,,,,,,
17136,24680,,,,,,,,,,,
17142,26110,6.0,20430,32680,15560,42370,2.7,0.233,71.9,32.4,3.2,-16.3
17153,23500,,19070,30180,14730,38610,2.6,0.223,71.9,34.0,3.9,-15.6
17158,22420,,,,,,,,,,,
17166,22130,,,,,,,,,,,
17174,22010,,,,,,,,,,,
17182,22560,,,,,,,,,,,
17186,22200,,,,,,,,,,,
17190,27780,,20990,35730,15380,49820,3.2,0.337,60.4,37.0,2.7,-19.0
17193,25270,,19890,31300,15650,40360,2.6,0.228,69.9,33.9,3.3,-15.8
17194,25210,,20550,31770,16450,39310,2.4,0.209,72.9,31.2,3.4,-15.4
17200,27680,5.0,21560,35900,16470,47790,2.9,0.264,65.2,39.0,2.5,-18.5
17201,23990,,,,,,,,,,,
17203,23610,,,,,,,,,,,
17208,24300,,,,,,,,,,,
17218,21500,13.0,16620,26380,13120,32710,2.5,0.217,63.3,36.6,6.0,-12.8
17221,21340,,,,,,,,,,,
17222,27760,,21330,36350,16490,47930,2.9,0.263,68.7,36.1,2.4,-17.9
17245,25530,,,,,,,,,,,
17264,26200,8.0,20470,33810,15270,45340,3.0,0.258,64.2,40.3,2.9,-17.1
17267,24050,,,,,,,,,,,
17274,26000,7.0,20080,33790,15500,44060,2.8,0.267,69.8,33.1,3.7,-17.7
17291,24990,7.0,19520,32110,15070,41450,2.8,0.243,72.1,32.3,4.0,-16.3
17293,22950,,,,,,,,,,,
17300,22200,18.0,15640,30920,11300,42810,3.8,0.323,63.0,36.0,6.7,-17.3
17303,20830,,,,,,,,,,,
17315,23440,,,,,,,,,,,
17321,20230,,,,,,,,,,,
17322,21810,,,,,,,,,,,
17338,21800,,,,,,,,,,,
17340,22030,,,,,,,,,,,
17349,23080,7.0,18700,27690,14740,34560,2.3,0.195,78.5,23.8,4.9,-13.6
17359,21830,,,,,,,,,,,
17373,24360,,19790,30540,15610,38720,2.5,0.203,83.5,21.5,3.8,-14.9
17376,24450,,20800,28780,16450,36210,2.2,0.191,87.5,18.0,3.8,-14.9
17382,22450,,,,,,,,,,,
17391,26460,,20670,33170,16180,42850,2.6,0.224,73.9,31.8,3.4,-16.5
17394,21420,,,,,,,,,,,
17396,23820,,,,,,,,,,,
17407,25310,7.0,20540,31600,15880,39520,2.5,0.223,80.7,24.0,3.8,-16.1
17413,25390,,,,,,,,,,,
17414,25370,7.0,20210,31970,15460,41700,2.7,0.242,71.5,33.4,3.3,-16.1
17420,26980,,21070,33050,16650,43090,2.6,0.221,69.0,36.3,2.7,-16.4
17434,21560,15.0,16340,27070,12280,34340,2.8,0.231,54.7,44.3,6.8,-12.6
17439,20880,,,,,,,,,,,
17443,24770,,,,,,,,,,,
17447,22220,,,,,,,,,,,
17457,21620,,,,,,,,,,,
17466,24310,,20120,30560,15590,37830,2.4,0.203,82.0,21.6,4.0,-14.5
17472,24290,,20340,29830,16750,37170,2.2,0.190,84.1,20.9,3.3,-14.6
17480,23200,,,,,,,,,,,
17482,22270,,,,,,,,,,,
17483,24750,,,,,,,,,,,
