IRIS,median_income_eur,poverty_rate_pct,income_q1_eur,income_q3_eur,income_d1_eur,income_d9_eur,d9_d1_ratio,gini_index,income_share_activity_pct,income_share_pensions_pct,income_share_social_benefits_pct,income_share_taxes_pct
170280101,,,,,,,,,,,,
170280102,19370.0,23.0,14540.0,25940.0,10600.0,34340.0,3.2,0.269,63.4,31.4,10.8,-14.0
170280103,24270.0,9.0,18870.0,31050.0,14290.0,39500.0,2.8,0.231,72.1,32.5,3.6,-15.3
170280104,22950.0,10.0,17840.0,29550.0,13600.0,37320.0,2.7,0.231,71.2,32.4,5.4,-14.7
170940101,25390.0,6.0,19410.0,32740.0,15340.0,41740.0,2.7,0.234,55.7,47.4,3.4,-16.1
170940102,27070.0,10.0,19520.0,37390.0,13990.0,53880.0,3.9,0.315,49.4,51.4,2.7,-19.3
172000101,27720.0,5.0,22190.0,35090.0,16730.0,45770.0,2.7,0.245,67.1,40.2,2.1,-18.2
172000102,27860.0,5.0,22030.0,35730.0,17370.0,47580.0,2.7,0.276,68.1,33.9,2.4,-18.8
172000103,27500.0,6.0,20770.0,36550.0,15810.0,49740.0,3.1,0.267,62.0,42.3,3.0,-18.4
172640101,26490.0,7.0,20980.0,33800.0,15580.0,46060.0,3.0,0.274,64.8,38.9,2.9,-17.3
172640102,25830.0,8.0,20230.0,33860.0,14740.0,44500.0,3.0,0.242,63.7,41.6,3.1,-17.0
172740101,25040.0,7.0,19110.0,32710.0,15040.0,44240.0,2.9,0.28,70.8,32.3,4.0,-18.2
172740102,26740.0,7.0,20690.0,34090.0,16230.0,43420.0,2.7,0.254,64.3,38.8,3.2,-17.3
172740103,26380.0,7.0,20430.0,34300.0,15490.0,44780.0,2.9,0.265,72.8,29.8,3.9,-17.5
173000101,23250.0,18.0,16170.0,33680.0,11320.0,49280.0,4.4,0.369,69.8,30.2,5.8,-20.3
173000102,24170.0,17.0,16700.0,34320.0,10770.0,51750.0,4.8,0.396,62.9,28.1,4.6,-19.7
173000103,23960.0,17.0,16220.0,35150.0,10820.0,54980.0,5.1,0.35,68.0,32.5,4.5,-21.0
173000104,24530.0,12.0,18240.0,33900.0,12880.0,45580.0,3.5,0.318,63.9,37.5,4.5,-19.2
173000201,33220.0,6.0,23630.0,43970.0,16900.0,61360.0,3.6,0.432,36.4,51.0,1.1,-22.1
173000202,33810.0,6.0,24170.0,48220.0,17200.0,70840.0,4.1,0.336,65.0,40.5,1.6,-25.0
173000301,22680.0,16.0,15750.0,32250.0,11700.0,44410.0,3.8,0.308,44.0,55.8,6.2,-17.6
173000302,18420.0,27.0,13680.0,24650.0,10440.0,33550.0,3.2,0.274,55.4,36.2,12.5,-12.0
173000401,,,,,,,,,,,,
173000402,20090.0,21.0,14940.0,25990.0,10980.0,34570.0,3.1,0.257,72.7,24.2,10.5,-13.0
173000403,22460.0,14.0,17190.0,28750.0,12870.0,36120.0,2.8,0.257,72.8,29.9,6.0,-14.9
173000501,18600.0,27.0,13410.0,25150.0,10270.0,31960.0,3.1,0.244,62.0,33.5,11.8,-11.2
173000502,,,,,,,,,,,,
173000503,15920.0,37.0,12160.0,20610.0,9590.0,25880.0,2.7,0.225,57.0,28.8,20.1,-8.8
173000504,15030.0,43.0,11830.0,19170.0,9050.0,23860.0,2.6,0.212,54.3,27.4,23.6,-7.5
173000505,15120.0,43.0,11630.0,20380.0,9200.0,26590.0,2.9,0.24,54.4,31.4,19.8,-9.5
173000601,23520.0,12.0,18100.0,31000.0,12560.0,40570.0,3.2,0.263,70.6,33.1,4.7,-16.0
173000602,23530.0,13.0,17590.0,30460.0,13090.0,39500.0,3.0,0.255,62.5,41.3,5.2,-15.4
173000603,30780.0,6.0,22480.0,41490.0,16040.0,56970.0,3.6,0.283,73.3,35.0,2.2,-22.6
173000701,26720.0,11.0,18370.0,36940.0,13300.0,50120.0,3.8,0.382,65.2,33.2,4.2,-21.3
173000702,26480.0,10.0,18860.0,35890.0,13830.0,47470.0,3.4,0.302,64.7,37.6,4.3,-18.5
173000703,25720.0,9.0,19170.0,32750.0,14100.0,42690.0,3.0,0.254,56.5,46.8,4.1,-16.8
173000801,24240.0,11.0,18030.0,31120.0,13430.0,41400.0,3.1,0.259,69.7,34.6,5.0,-16.6
173000802,24480.0,9.0,18710.0,33420.0,14160.0,46310.0,3.3,0.308,70.8,30.6,4.1,-18.7
173000901,25630.0,7.0,19860.0,33060.0,15630.0,41110.0,2.6,0.236,62.6,44.7,2.4,-17.2
173000902,16450.0,35.0,12380.0,21760.0,9280.0,27730.0,3.0,0.238,59.3,30.1,17.8,-9.5
173000903,15600.0,38.0,12150.0,22010.0,9500.0,28300.0,3.0,0.242,57.3,29.5,20.0,-9.5
173000904,16700.0,33.0,12500.0,22660.0,9720.0,28190.0,2.9,0.235,50.9,39.7,16.1,-9.5
173001001,21470.0,19.0,15160.0,29950.0,11060.0,42980.0,3.9,0.322,55.5,42.8,7.6,-17.1
173001002,21810.0,19.0,15520.0,29550.0,9430.0,39540.0,4.2,0.33,59.9,38.7,6.6,-17.4
173001003,22100.0,16.0,16480.0,29570.0,12050.0,38350.0,3.2,0.267,71.6,29.6,6.4,-14.9
174340101,22090.0,15.0,16670.0,28210.0,12260.0,35340.0,2.9,0.235,54.7,44.6,6.7,-13.2
174340102,21190.0,14.0,16370.0,26540.0,12560.0,33830.0,2.7,0.234,58.6,41.3,6.2,-12.4
174340103,21050.0,15.0,15900.0,26280.0,12090.0,32580.0,2.7,0.22,49.8,47.6,8.0,-11.8
