COMMUNE,nom_commune,distance_to_center_km
17300,La Rochelle,0.0
17200,Lagord,3.18
17190,L'Houmeau,3.55
17264,Nieul-sur-Mer,5.4
17291,Puilboreau,5.4
17028,Aytré,5.87
17274,Périgny,7.48
17010,Angoulins,7.87
17222,Marsilly,8.02
17414,Saint-Xandre,8.61
17142,Dompierre-sur-Mer,9.03
17193,La Jarne,9.09
17391,Saint-Rogatien,9.26
17153,Esnandes,10.52
17109,Clavette,11.04
17420,Salles-sur-Mer,11.64
17059,Bourgneuf,11.88
17472,Villedoux,12.03
17245,Montroy,12.08
17094,Châtelaillon-Plage,12.29
17194,La Jarrie,13.52
17413,Saint-Vivien,13.55
17407,Sainte-Soulle,13.68
17376,Saint-Ouen-d'Aunis,13.9
17136,Croix-Chapeau,15.24
17443,Thairé,16.07
17373,Saint-Médard-d'Aunis,16.49
17008,Andilly,16.6
17091,Charron,16.6
17466,Vérines,16.61
17315,Saint-Christophe,17.5
17483,Yves,17.65
17208,Longèves,17.78
17009,Angliers,18.09
17003,Aigrefeuille-d'Aunis,18.13
17032,Ballon,19.9
17447,Le Thou,20.42
17267,Nuaillé-d'Aunis,21.04
17007,Anais,21.27
17218,Marans,22.2
17396,Saint-Sauveur-d'Aunis,22.44
17166,Forges,22.62
17480,Virson,22.7
17107,Ciré-d'Aunis,23.0
17186,Le Gué-d'Alleré,23.69
17057,Bouhet,24.95
17018,Ardillières,25.4
17158,Ferrières,25.57
17349,Saint-Jean-de-Liversay,26.3
17203,Landrais,26.38
17080,Chambon,26.49
17293,Puyravault,27.73
17482,Vouhé,29.08
17322,Saint-Cyr-du-Doret,29.62
17041,Benon,29.77
17340,Saint-Pierre-la-Noue,30.77
17127,Courçon,31.37
17439,Taugon,31.66
17201,La Laigne,32.92
17182,La Grève-sur-Mignon,33.51
17434,Surgères,33.51
17303,La Ronde,33.65
17338,Saint-Georges-du-Bois,34.05
17174,Genouillé,34.53
17132,Cram-Chaban,36.03
17457,La Devise,36.41
17382,Saint-Pierre-d'Amilly,36.84
17359,Saint-Mard,37.81
17321,Saint-Crépin,38.22
17063,Breuil-la-Réorte,38.91
17394,Saint-Saturnin-du-Bois,40.01
17221,Marsais,43.57
