COMMUNE,km_pa
17003,8025.735415283484
17007,11825.777523290912
17008,9884.167006753332
17009,10206.881090968009
17010,4728.4025465170935
17018,10608.376718397165
17028,3729.326951199092
17032,9429.406882189089
17041,12503.769436275907
17057,11610.341606991393
17059,6485.032679071982
17063,11641.85453608388
17080,10857.686149275518
17091,9392.416243227877
17094,5631.053032924587
17107,9453.888006714391
17109,6498.458511224833
17127,10503.318905048029
17132,14433.393182205771
17136,6913.576308013118
17142,6097.899259047588
17153,7721.632370582492
17158,10627.775525974926
17166,9709.096760972961
17174,12676.66884609185
17182,14880.601209489058
17186,9797.740682579404
17190,3774.971056041134
17193,5106.8653569574435
17194,6413.914450631207
17200,3261.753680598501
17201,14041.31512378849
17203,10560.616529533698
17208,10272.2957533729
17218,8058.266378535062
17221,11170.954938384684
17222,6913.633046327556
17245,6622.591857237273
17264,4866.155136489366
17267,10316.678076464386
17274,4409.817143559654
17291,4571.2247836586075
17293,11923.937457687813
17300,2924.0130779967158
17303,12239.772312357325
17315,8975.189083217263
17321,9426.928653841049
17322,14337.276975218665
17338,11760.572414799282
17340,10627.85364176271
17349,11308.896353270606
17359,11811.248506831318
17373,9450.440257983591
17376,9057.660006657548
17382,13324.12069096367
17391,5281.2038679812385
17394,13067.787534694964
17396,10872.668162735687
17407,8055.054423333625
17413,7460.826726380585
17414,6211.903953896594
17420,7630.269871381447
17434,7491.567970806505
17439,13075.531827218892
17443,8614.004886216733
17447,9547.196086248867
17457,11416.618289322098
17466,9867.851200685569
17472,8303.085382982317
17480,10233.611135280911
17482,13742.477051100299
17483,8407.381965300205
