IRIS,km_pa
170030000,8025.292799699387
170070000,11825.777523290912
170080000,9868.631859208459
170090000,10218.77416596229
170100000,4728.4025465170935
170180000,10608.376718397165
170280101,3837.9665539176613
170280102,3991.670958571511
170280103,3678.3562084261807
170280104,3727.8044469275524
170320000,9429.406882189089
170410000,12503.769436275907
170570000,11610.341606991393
170590000,6485.032679071982
170630000,11641.85453608388
170800000,10856.507125002408
170910000,9392.661163611474
170940101,5454.6948331055555
170940102,5780.026579329272
171070000,9453.888006714391
171090000,6488.883484308736
171270000,10503.318905048029
171320000,14433.393182205771
171360000,6914.63827045043
171420000,6078.186193460307
171530000,7721.961358536136
171580000,10627.775525974926
171660000,9709.096760972961
171740000,12676.66884609185
171820000,14880.601209489058
171860000,9797.740682579404
171900000,3828.773291504089
171930000,5097.445095481526
171940000,6418.005006167945
172000101,3152.708647807648
172000102,3131.647313810064
172000103,3415.2954110287797
172010000,14041.31512378849
172030000,10558.23711042492
172080000,10272.2957533729
172180000,8058.266378535062
172210000,11170.954938384684
172220000,6913.633046327556
172450000,6622.591857237273
172640101,5359.53676201394
172640102,4522.756089917182
172670000,10303.29902662756
172740101,4133.5627428156395
172740102,4245.246581935221
172740103,4679.934074789567
172910000,4589.905922849477
172930000,11923.937457687813
173000101,2225.7100106666453
173000102,2113.0912257891014
173000103,2434.3691050609664
173000104,2453.2942022803136
173000201,2770.109545931852
173000202,2941.7602302832443
173000301,3092.5271954613613
173000302,3222.56967844846
173000401,2153.3769026464847
173000402,1875.1436307199938
173000403,2620.7132066264367
173000501,3138.544189246667
173000502,2950.8208800312486
173000503,2971.0144149685457
173000504,2878.7145747391032
173000505,2517.855956607413
173000601,3312.042437215215
173000602,2992.4148345182643
173000603,3292.9220328494066
173000701,3637.2305438783314
173000702,4017.5091551855458
173000703,4256.355169082671
173000801,3763.785772974157
173000802,2823.506287107531
173000901,3707.0575480346406
173000902,3373.972951472355
173000903,3606.9993912058603
173000904,3231.068415828958
173001001,1826.5988603527587
173001002,1575.5727995127768
173001003,2570.8800564773987
173030000,12239.772312357325
173150000,8972.880856796268
173210000,9426.928653841049
173220000,14337.276975218665
173380000,11771.58517348157
173400000,10627.85364176271
173490000,11342.541732107491
173590000,11811.248506831318
173730000,9450.440257983591
173760000,9074.861600597911
173820000,13312.79533260764
173910000,5297.996977976238
173940000,13067.787534694964
173960000,10872.668162735687
174070000,8057.456651701312
174130000,7460.826726380585
174140000,6210.398814069953
174200000,7630.269871381447
174340101,7740.208953236363
174340102,7274.4984897451905
174340103,7393.626652301395
174390000,13073.495945890447
174430000,8614.004886216733
174470000,9547.196086248867
174570000,11416.618289322098
174660000,9867.851200685569
174720000,8303.709823937916
174800000,10249.749551178911
174820000,13742.477051100299
174830000,8407.381965300205
851110000,0
851320000,12006.512361622457
