idINS,individuals,households,households_poor,households_1person,households_5plus_person,households_owner,households_single_parent,sum_niveau_de_vie_eur,sum_dwelling_surface_m2,households_collective_housing,households_house,households_social_housing,pop_0_3,pop_4_5,pop_6_10,pop_11_17,pop_18_24,pop_25_39,pop_40_54,pop_55_64,pop_65_79,pop_80p,avg_niveau_de_vie_eur
CRS3035RES200mN2600800E3492200,4.0,1.9,0.4,0.6,0.0,1.4,0.2,95248.7,195.6,0.0,1.9,0.0,0.1,0.3,0.1,0.1,0.3,0.7,1.2,0.5,0.6,0.1,23812.0
CRS3035RES200mN2600800E3492400,18.0,8.5,1.6,2.6,0.0,6.4,1.1,428619.0,880.4,0.0,8.5,0.0,0.5,1.6,0.3,0.3,1.6,3.2,5.3,2.1,2.6,0.5,23812.0
CRS3035RES200mN2600800E3492600,6.0,2.8,0.5,0.9,0.0,2.1,0.4,142873.0,293.5,0.0,2.8,0.0,0.2,0.5,0.1,0.1,0.5,1.0,1.8,0.7,0.9,0.2,23812.0
CRS3035RES200mN2601200E3490200,3.0,1.2,0.1,0.2,0.1,0.9,0.1,84912.7,151.5,0.0,1.2,0.0,0.2,0.0,0.3,0.2,0.2,0.1,0.9,0.4,0.6,0.1,28304.0
CRS3035RES200mN2601400E3491600,5.0,2.0,0.2,0.3,0.2,1.5,0.2,141521.2,252.5,0.0,2.0,0.0,0.3,0.0,0.5,0.3,0.3,0.2,1.5,0.7,1.0,0.2,28304.0
CRS3035RES200mN2601400E3493000,3.0,1.5,0.1,0.5,0.0,1.3,0.1,76283.2,171.4,0.0,1.5,0.0,0.1,0.0,0.3,0.1,0.0,0.4,0.5,0.7,0.8,0.1,25428.0
CRS3035RES200mN2601600E3490000,2.0,0.8,0.1,0.1,0.1,0.6,0.1,56608.5,101.0,0.0,0.8,0.0,0.1,0.0,0.2,0.1,0.1,0.1,0.6,0.3,0.4,0.1,28304.0
CRS3035RES200mN2601600E3490200,15.0,6.0,0.5,1.0,0.5,4.5,0.5,424563.7,757.5,0.0,6.0,0.0,1.0,0.0,1.5,1.0,1.0,0.5,4.5,2.0,3.0,0.5,28304.0
CRS3035RES200mN2601600E3490400,2.0,0.8,0.1,0.1,0.1,0.6,0.1,56608.5,101.0,0.0,0.8,0.0,0.1,0.0,0.2,0.1,0.1,0.1,0.6,0.3,0.4,0.1,28304.0
CRS3035RES200mN2601600E3491800,2.0,0.8,0.1,0.1,0.1,0.6,0.1,56608.5,101.0,0.0,0.8,0.0,0.1,0.0,0.2,0.1,0.1,0.1,0.6,0.3,0.4,0.1,28304.0
CRS3035RES200mN2602200E3489600,4.0,1.5,0.4,0.2,0.1,1.2,0.0,104616.0,209.9,0.0,1.5,0.0,0.0,0.0,0.0,0.6,0.1,0.5,1.1,0.8,0.7,0.2,26154.0
CRS3035RES200mN2602600E3491800,4.0,1.8,0.3,0.6,0.2,1.6,0.3,77951.3,208.7,0.0,1.8,0.0,0.1,0.1,0.3,0.5,0.2,0.3,1.2,0.6,0.4,0.3,19488.0
CRS3035RES200mN2602800E3491800,10.0,4.5,0.6,1.5,0.4,4.0,0.6,194878.3,521.7,0.0,4.5,0.0,0.2,0.2,0.7,1.4,0.4,0.6,3.0,1.5,1.1,0.9,19488.0
CRS3035RES200mN2602800E3492000,1.0,0.4,0.1,0.1,0.0,0.3,0.1,21513.0,50.8,0.1,0.3,0.0,0.0,0.0,0.0,0.2,0.1,0.2,0.2,0.1,0.1,0.1,21513.0
CRS3035RES200mN2603000E3489000,15.0,5.7,1.4,0.7,0.4,4.6,0.0,392310.1,787.1,0.0,5.7,0.0,0.0,0.0,0.0,2.3,0.5,1.8,4.3,2.9,2.5,0.7,26154.0
CRS3035RES200mN2603000E3491800,48.0,21.0,2.0,7.0,1.0,17.0,1.0,1106929.1,2601.0,0.0,21.0,0.0,8.0,0.0,3.0,1.0,3.0,14.0,8.0,1.0,7.0,3.0,23061.0
CRS3035RES200mN2603000E3492000,4.0,1.7,0.2,0.4,0.1,1.2,0.2,86052.0,203.3,0.3,1.4,0.0,0.0,0.1,0.1,0.6,0.4,0.7,0.7,0.5,0.5,0.4,21513.0
CRS3035RES200mN2603200E3488800,2.0,0.8,0.2,0.1,0.0,0.6,0.0,52308.0,105.0,0.0,0.8,0.0,0.0,0.0,0.0,0.3,0.1,0.2,0.6,0.4,0.3,0.1,26154.0
CRS3035RES200mN2603200E3489000,30.5,12.0,4.0,2.0,0.0,7.0,2.0,661170.4,1621.0,0.0,12.0,0.0,0.0,3.0,1.0,4.5,1.0,6.0,11.0,3.0,1.0,0.0,21678.0
CRS3035RES200mN2603200E3491600,26.0,7.9,0.6,0.6,1.8,6.7,1.2,572735.9,865.3,0.0,7.9,0.0,1.2,0.6,1.2,4.2,1.8,2.4,7.9,4.3,2.4,0.0,22028.0
CRS3035RES200mN2603200E3491800,52.0,19.0,3.0,6.0,3.0,15.0,1.0,1039041.5,2176.0,0.0,19.0,0.0,3.0,0.0,6.0,8.0,4.0,6.0,11.0,8.0,2.0,4.0,19982.0
CRS3035RES200mN2603200E3492000,12.0,5.0,0.6,1.1,0.3,3.6,0.6,258155.9,609.9,0.8,4.2,0.0,0.2,0.2,0.2,1.9,1.3,2.1,2.1,1.4,1.5,1.1,21513.0
CRS3035RES200mN2603400E3491800,15.0,4.5,0.3,0.3,1.0,3.8,0.7,330424.5,499.2,0.0,4.5,0.0,0.7,0.4,0.7,2.4,1.1,1.4,4.5,2.4,1.4,0.0,22028.0
CRS3035RES200mN2603600E3487800,2.0,1.0,0.3,0.2,0.0,0.8,0.3,42818.0,120.7,0.0,1.0,0.0,0.0,0.0,0.1,0.2,0.1,0.3,0.3,0.4,0.4,0.2,21409.0
CRS3035RES200mN2603600E3491800,2.0,0.6,0.0,0.0,0.1,0.5,0.1,44056.6,66.6,0.0,0.6,0.0,0.1,0.1,0.1,0.3,0.1,0.2,0.6,0.3,0.2,0.0,22028.0
CRS3035RES200mN2603600E3493200,14.0,5.9,0.8,1.3,0.4,4.2,0.8,301181.9,711.5,1.0,4.9,0.0,0.2,0.2,0.3,2.2,1.5,2.4,2.5,1.7,1.7,1.3,21513.0
CRS3035RES200mN2603800E3488400,1.0,0.4,0.1,0.0,0.0,0.3,0.0,26154.0,52.5,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.3,0.2,0.2,0.0,26154.0
CRS3035RES200mN2603800E3490200,8.0,3.6,0.5,1.2,0.3,3.2,0.5,155902.7,417.4,0.0,3.6,0.0,0.2,0.2,0.6,1.1,0.3,0.5,2.4,1.2,0.8,0.7,19488.0
CRS3035RES200mN2603800E3490400,9.0,4.0,0.6,1.3,0.4,3.6,0.6,175390.5,469.5,0.0,4.0,0.0,0.2,0.2,0.7,1.2,0.4,0.6,2.7,1.3,0.9,0.8,19488.0
CRS3035RES200mN2603800E3490600,16.0,7.1,1.0,2.4,0.7,6.5,1.0,311805.3,834.7,0.0,7.1,0.0,0.3,0.3,1.2,2.2,0.7,1.0,4.8,2.4,1.7,1.4,19488.0
CRS3035RES200mN2604000E3488600,5.0,2.6,0.2,1.3,0.2,2.6,0.2,88980.1,303.0,0.0,2.6,0.0,0.0,0.0,0.4,0.7,0.0,0.2,1.1,0.9,1.3,0.4,17796.0
CRS3035RES200mN2604000E3490400,5.0,2.0,0.2,0.5,0.1,1.8,0.2,126337.9,236.7,0.0,2.0,0.0,0.1,0.3,0.3,0.6,0.5,0.8,1.2,0.3,0.7,0.2,25268.0
CRS3035RES200mN2604000E3490600,46.0,18.0,1.8,4.5,0.9,16.2,1.8,1162308.6,2177.3,0.0,18.0,0.0,0.9,2.7,2.7,5.4,4.5,7.2,11.8,2.7,6.3,1.8,25268.0
CRS3035RES200mN2604000E3491400,3.0,1.2,0.1,0.3,0.1,1.1,0.2,58718.2,145.3,0.1,1.1,0.0,0.1,0.1,0.1,0.7,0.1,0.3,0.8,0.1,0.6,0.1,19573.0
CRS3035RES200mN2604000E3491600,5.0,2.0,0.2,0.6,0.2,1.9,0.4,97863.7,242.2,0.2,1.8,0.0,0.2,0.2,0.2,1.1,0.2,0.5,1.3,0.2,0.9,0.2,19573.0
CRS3035RES200mN2604000E3493000,2.0,1.0,0.1,0.3,0.1,0.9,0.1,55595.4,100.1,0.1,0.9,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.4,0.4,0.2,0.3,27798.0
CRS3035RES200mN2604200E3488400,1.0,0.5,0.0,0.3,0.0,0.5,0.0,17796.0,60.6,0.0,0.5,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.2,0.3,0.1,17796.0
CRS3035RES200mN2604200E3488600,17.0,8.8,0.6,4.4,0.6,8.8,0.6,302532.4,1030.1,0.0,8.8,0.0,0.0,0.0,1.3,2.5,0.0,0.6,3.8,3.1,4.4,1.3,17796.0
CRS3035RES200mN2604400E3486000,13.0,5.4,0.5,1.9,0.3,4.1,0.0,350840.6,679.0,0.0,5.4,0.0,0.5,0.3,0.6,0.8,1.9,1.9,2.4,2.2,1.6,0.8,26988.0
CRS3035RES200mN2604400E3488400,24.0,13.0,1.0,6.0,0.0,13.0,1.0,595093.3,1458.0,0.0,13.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,6.0,7.0,3.0,2.0,24796.0
CRS3035RES200mN2604400E3488600,2.0,1.0,0.1,0.5,0.1,1.0,0.1,35592.0,121.2,0.0,1.0,0.0,0.0,0.0,0.1,0.3,0.0,0.1,0.4,0.4,0.5,0.2,17796.0
CRS3035RES200mN2604600E3486000,28.0,11.7,1.2,4.1,0.6,8.8,0.0,755656.8,1462.4,0.0,11.7,0.0,1.2,0.6,1.2,1.7,4.1,4.1,5.2,4.7,3.5,1.7,26988.0
CRS3035RES200mN2604600E3486200,7.0,2.9,0.3,1.0,0.1,2.2,0.0,188914.2,365.6,0.0,2.9,0.0,0.3,0.2,0.3,0.4,1.0,1.0,1.3,1.2,0.9,0.4,26988.0
CRS3035RES200mN2604600E3492000,11.5,5.5,0.6,1.8,0.3,4.9,0.6,319673.8,575.3,0.6,4.9,0.0,0.0,0.0,1.1,1.2,0.6,1.2,2.5,2.2,1.2,1.5,27798.0
CRS3035RES200mN2604600E3495000,1.0,0.5,0.0,0.2,0.0,0.4,0.1,24713.6,53.9,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.1,0.4,0.1,24714.0
CRS3035RES200mN2604800E3488600,2.0,1.0,0.1,0.5,0.1,1.0,0.1,35592.0,121.2,0.0,1.0,0.0,0.0,0.0,0.1,0.3,0.0,0.1,0.4,0.4,0.5,0.2,17796.0
CRS3035RES200mN2604800E3491800,4.0,1.6,0.1,0.4,0.1,1.5,0.3,78291.0,193.8,0.1,1.5,0.0,0.1,0.1,0.2,0.9,0.2,0.4,1.0,0.2,0.7,0.2,19573.0
CRS3035RES200mN2604800E3492000,12.0,5.8,0.6,1.9,0.3,5.1,0.6,333572.6,600.3,0.7,5.1,0.0,0.0,0.0,1.1,1.3,0.6,1.3,2.6,2.2,1.3,1.6,27798.0
CRS3035RES200mN2605200E3486800,1.0,0.3,0.0,0.1,0.0,0.3,0.0,22632.4,43.6,0.0,0.3,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.3,0.2,0.0,0.1,22632.0
CRS3035RES200mN2605400E3486800,33.0,11.3,0.9,1.7,0.9,9.6,0.0,746870.4,1439.8,0.0,11.3,0.0,2.6,1.7,2.6,0.9,3.5,3.5,9.6,5.2,1.7,1.7,22632.0
CRS3035RES200mN2605400E3488000,10.0,3.7,0.4,0.5,0.2,3.0,0.1,235688.9,417.9,0.1,3.6,0.0,0.0,0.1,0.8,1.3,0.5,1.6,2.0,2.0,1.1,0.6,23569.0
