Idcar_200m,I_est_200,Idcar_1km,I_est_1km,Idcar_nat,Groupe,Ind,Men_1ind,Men_5ind,Men_prop,Men_fmp,Ind_snv,Men_surf,Men_coll,Men_mais,Log_av45,Log_45_70,Log_70_90,Log_ap90,Log_inc,Log_soc,Ind_0_3,Ind_4_5,Ind_6_10,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_55_64,Ind_65_79,Ind_80p,Ind_inc,Men_pauv,Men,lcog_geo
CRS3035RES200mN2600800E3492200,1,CRS3035RES1000mN2600000E3492000,0,CRS3035RES2000mN2600000E3492000,645076,4,0.4,0,1.5,0.2,73582.6,188.9,0,1.8,0.4,0.1,0.5,0.8,0,0,0.4,0.1,0.1,0.1,0.2,1,1,0.8,0.2,0.1,0,0.6,1.8,1744817321
CRS3035RES200mN2600800E3492400,1,CRS3035RES1000mN2600000E3492000,0,CRS3035RES2000mN2600000E3492000,645076,18,1.6,0,6.9,1.1,331121.7,850.2,0,7.9,1.6,0.5,2.1,3.7,0,0,1.6,0.5,0.5,0.5,1.1,4.2,4.3,3.7,1.1,0.5,0,2.6,7.9,1732117448
CRS3035RES200mN2600800E3492600,1,CRS3035RES1000mN2600000E3492000,0,CRS3035RES2000mN2600000E3492000,645076,6,0.5,0,2.3,0.4,110373.9,283.4,0,2.6,0.5,0.2,0.7,1.2,0,0,0.5,0.2,0.2,0.2,0.3,1.4,1.4,1.2,0.4,0.2,0,0.9,2.6,17321
CRS3035RES200mN2601200E3490200,1,CRS3035RES1000mN2601000E3490000,1,CRS3035RES4000mN2600000E3488000,270532,3,0.4,0.2,1,0,66250.4,137.3,0,1.2,0.8,0,0.1,0.3,0,0,0.4,0.1,0.2,0.2,0,0.4,0.8,0.3,0.5,0.1,0,0.2,1.2,1732117448
CRS3035RES200mN2601400E3490200,1,CRS3035RES1000mN2601000E3490000,1,CRS3035RES4000mN2600000E3488000,270532,1,0.1,0.1,0.3,0,22083.5,45.8,0,0.4,0.3,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0.1,0.3,0.1,0.2,0,0,0.1,0.4,17321
CRS3035RES200mN2601400E3491600,1,CRS3035RES1000mN2601000E3491000,1,CRS3035RES4000mN2600000E3488000,270532,6,0.7,0.4,1.9,0,132500.9,274.6,0,2.3,1.5,0,0.2,0.6,0,0,0.8,0.2,0.5,0.4,0.1,0.8,1.5,0.6,1,0.1,0,0.4,2.3,17321
CRS3035RES200mN2601600E3490000,1,CRS3035RES1000mN2601000E3490000,1,CRS3035RES4000mN2600000E3488000,270532,2,0.2,0.1,0.6,0,44167,91.5,0,0.8,0.5,0,0.1,0.2,0,0,0.3,0.1,0.2,0.1,0,0.3,0.5,0.2,0.3,0,0,0.1,0.8,17321
CRS3035RES200mN2601600E3490200,1,CRS3035RES1000mN2601000E3490000,1,CRS3035RES4000mN2600000E3488000,270532,11,1.3,0.7,3.5,0,242918.3,503.4,0,4.2,2.7,0,0.4,1.1,0,0,1.5,0.4,0.9,0.7,0.2,1.5,2.7,1.1,1.8,0.2,0,0.7,4.2,17321
CRS3035RES200mN2601600E3490400,1,CRS3035RES1000mN2601000E3490000,1,CRS3035RES4000mN2600000E3488000,270532,1,0.1,0.1,0.3,0,22083.5,45.8,0,0.4,0.3,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0.1,0.3,0.1,0.2,0,0,0.1,0.4,17321
CRS3035RES200mN2601600E3491600,1,CRS3035RES1000mN2601000E3491000,1,CRS3035RES4000mN2600000E3488000,270532,1,0.1,0.1,0.3,0,22083.5,45.8,0,0.4,0.3,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0.1,0.3,0.1,0.2,0,0,0.1,0.4,17321
CRS3035RES200mN2601600E3491800,1,CRS3035RES1000mN2601000E3491000,1,CRS3035RES4000mN2600000E3488000,270532,2,0.2,0.1,0.6,0,44167,91.5,0,0.8,0.5,0,0.1,0.2,0,0,0.3,0.1,0.2,0.1,0,0.3,0.5,0.2,0.3,0,0,0.1,0.8,17321
CRS3035RES200mN2602200E3489600,1,CRS3035RES1000mN2602000E3489000,1,CRS3035RES4000mN2600000E3488000,106190,4,0.3,0,1.5,0,124278.4,198.2,0,1.5,1.1,0,0.1,0.3,0,0,0.1,0.1,0.4,0.1,0.2,0.7,1.1,0.4,0.7,0.2,0,0.1,1.5,17321
CRS3035RES200mN2602600E3491800,1,CRS3035RES1000mN2602000E3491000,1,CRS3035RES4000mN2600000E3488000,270533,4,0.7,0.1,1.6,0.2,83682.6,226.8,0,1.9,1.4,0,0.2,0.3,0,0,0.1,0,0.5,0.4,0,0.6,0.7,1,0.2,0.5,0,0.1,1.9,17321
CRS3035RES200mN2602800E3491800,1,CRS3035RES1000mN2602000E3491000,1,CRS3035RES4000mN2600000E3488000,270533,10,1.7,0.2,4,0.5,209206.4,566.9,0,4.8,3.6,0,0.5,0.7,0,0,0.2,0,1.2,1,0,1.4,1.9,2.6,0.5,1.2,0,0.2,4.8,17321
CRS3035RES200mN2603000E3489000,1,CRS3035RES1000mN2603000E3489000,0,CRS3035RES4000mN2600000E3488000,645729,16,1,0.3,3.3,0.7,328390.7,698.8,0,5.6,2.3,0,0.7,2.6,0,0,1,0.3,1,1.6,1.3,2.9,4.3,1.3,1,1.3,0,0.3,5.6,17321
CRS3035RES200mN2603000E3491800,0,CRS3035RES1000mN2603000E3491000,0,CRS3035RES4000mN2600000E3488000,645731,36,7,1,13,1,756873.8,1819,0,17,12,0,0,5,0,0,0,2,2,3,3,4,8,6,5,3,0,2,17,17321
CRS3035RES200mN2603000E3492000,1,CRS3035RES1000mN2603000E3492000,1,CRS3035RES2000mN2602000E3492000,270540,7,0.6,0.1,2.2,0.4,134690.7,324.6,0.7,2.1,1.2,0.1,0.3,1.2,0,0,0.2,0.2,0.6,0.9,0.4,1.3,1.4,0.7,0.8,0.5,0,0.4,2.8,17321
