COMMUNE,nom_commune,population_1990,population_1999,population_2006,population_2010,population_2012,population_2016,population_2018,population_2020,population_2026,surface_km2,density_2026_per_km2,code_postal,epci,canton,arrondissement
17003,Aigrefeuille-d'Aunis,2944,3151,3581,3774,3803,3958,4190,4417,4748,17.1445,276.9,17290,CDC Aunis Sud,Surgères,Rochefort
17007,Anais,231,210,278,335,335,323,323,323,317,9.5111,33.3,17540,CDC Aunis Sud,La Jarrie,Rochefort
17008,Andilly,1481,1478,1889,2014,2075,2217,2287,2332,2405,28.6853,83.8,17230,CDC Aunis Atlantique,Marans,La Rochelle
17009,Angliers,310,364,676,807,847,1029,1104,1215,1462,10.8286,135.0,17540,CDC Aunis Atlantique,Marans,La Rochelle
17010,Angoulins,2908,3501,3815,3855,3924,3880,4095,4163,4339,7.8863,550.2,17690,CDA de La Rochelle,Châtelaillon-Plage,La Rochelle
17018,Ardillières,508,555,779,804,830,846,865,869,901,15.9603,56.5,17290,CDC Aunis Sud,Surgères,Rochefort
17028,Aytré,7786,7725,8889,9075,9111,8706,9371,9545,9881,12.2076,809.4,17440,CDA de La Rochelle,Aytré,La Rochelle
17032,Ballon,482,526,650,747,775,793,817,826,846,12.2558,69.0,17290,CDC Aunis Sud,Surgères,Rochefort
17041,Benon,426,514,673,1018,1387,1599,1665,1731,1876,47.4567,39.5,17170,CDC Aunis Atlantique,Marans,La Rochelle
17057,Bouhet,390,410,662,876,869,894,927,927,920,15.2136,60.5,17540,CDC Aunis Sud,La Jarrie,Rochefort
17059,Bourgneuf,1044,1041,1076,1078,1106,1216,1358,1419,1493,2.5678,581.4,17220,CDA de La Rochelle,La Jarrie,La Rochelle
17063,Breuil-la-Réorte,329,312,318,425,,456,463,471,480,16.0857,29.8,17700,CDC Aunis Sud,Surgères,Rochefort
17080,Chambon,730,739,851,921,900,911,957,990,993,18.6568,53.2,17290,CDC Aunis Sud,Surgères,Rochefort
17091,Charron,1512,1650,2172,2371,1926,1981,2022,2034,2048,35.7726,57.3,17230,CDC Aunis Atlantique,Marans,La Rochelle
17094,Châtelaillon-Plage,4993,5625,6039,6176,6079,5923,5963,6118,6750,6.717,1004.9,17340,CDA de La Rochelle,Châtelaillon-Plage,La Rochelle
17107,Ciré-d'Aunis,686,804,1109,1193,1198,1335,1403,1534,1604,25.8305,62.1,17290,CDC Aunis Sud,Surgères,Rochefort
17109,Clavette,592,711,902,1204,1313,1357,1443,1478,1424,6.2978,226.1,17220,CDA de La Rochelle,La Jarrie,La Rochelle
17127,Courçon,990,1097,1475,1691,1748,1757,1779,1906,2113,19.2096,110.0,17170,CDC Aunis Atlantique,Marans,La Rochelle
17132,Cram-Chaban,516,515,567,621,642,654,671,666,670,16.0374,41.8,17170,CDC Aunis Atlantique,Marans,La Rochelle
