IRIS,COMMUNE,population_2021,pop_0_14,pop_15_29,pop_30_44,pop_45_59,pop_60_74,pop_75p,pop_15p_active_base,pop_cs1_agriculteurs,pop_cs2_artisans_commerc_chefs_entr,pop_cs3_cadres_prof_intel_sup,pop_cs4_prof_intermediaires,pop_cs5_employes,pop_cs6_ouvriers,pop_cs7_retraites,pop_cs8_autres_sans_activite,pop_nationalite_francaise,pop_etrangers,pop_immigres,pop_menages
170030000,17003,4479.0,794.8,572.1,822.8,905.9,912.4,471.0,3638.1,16.4,114.2,223.8,560.3,565.6,517.6,1240.2,400.0,4419.4,59.6,96.9,4416.0
170070000,17007,316.0,56.5,40.9,60.9,84.5,56.7,16.6,276.6,0.0,10.3,5.0,74.8,44.9,35.3,66.5,39.7,313.0,3.0,4.0,316.0
170080000,17008,2312.0,456.4,310.8,493.2,477.2,449.0,125.4,1866.9,15.5,133.6,127.2,325.6,316.1,262.8,438.6,247.4,2276.0,36.0,52.8,2312.0
170090000,17009,1285.0,334.1,191.6,383.5,222.9,112.5,40.3,939.9,4.6,72.4,66.5,272.9,211.9,143.1,95.5,72.9,1273.5,11.5,27.5,1285.0
170100000,17010,4117.0,553.4,513.7,578.1,863.0,1064.8,544.0,3522.1,9.7,151.8,335.4,506.1,455.9,273.2,1429.5,360.5,4017.8,99.2,152.0,4047.0
170180000,17018,865.0,187.7,122.8,190.4,200.4,121.3,42.3,650.4,9.9,29.8,34.6,114.3,128.4,133.5,131.2,68.8,861.0,4.0,8.1,865.0
170280101,17028,551.0,63.1,88.3,116.8,110.7,128.2,44.0,456.1,0.0,24.5,49.2,34.4,88.2,73.6,117.5,68.7,523.6,27.4,38.2,551.0
170280102,17028,1308.9,280.6,250.7,244.3,242.1,174.0,117.2,962.4,0.0,34.5,54.3,132.6,176.6,127.8,229.9,206.7,1265.7,43.2,61.8,1261.9
170280103,17028,3896.8,465.0,812.2,755.1,655.7,741.9,466.9,3467.5,0.0,98.3,437.1,662.3,461.1,333.6,1091.7,383.4,3777.1,119.7,181.4,3896.8
170280104,17028,3821.3,486.6,750.1,730.1,654.1,713.9,486.4,3337.4,9.8,137.7,304.7,525.6,554.8,333.8,1009.0,462.1,3710.2,111.1,191.6,3694.8
170320000,17032,821.0,178.7,104.5,211.7,150.6,134.8,40.8,657.6,10.2,41.1,41.0,158.9,128.5,61.7,129.1,87.0,816.9,4.1,8.1,821.0
170410000,17041,1763.0,461.1,222.7,456.4,302.3,191.7,128.9,1259.8,4.7,78.4,69.7,237.2,250.6,148.7,303.5,166.9,1745.6,17.4,24.1,1699.0
170570000,17057,916.0,220.9,120.6,253.8,174.7,110.3,35.7,712.1,0.0,54.6,24.9,129.1,133.8,154.1,135.8,79.8,907.0,9.0,10.1,858.0
170590000,17059,1418.0,273.7,188.8,282.0,278.2,326.0,69.3,1128.2,5.5,54.2,146.4,166.8,173.9,129.9,310.6,140.8,1395.7,22.3,43.6,1418.0
170630000,17063,466.0,76.4,80.7,84.7,92.4,84.4,47.3,377.3,10.0,46.1,15.6,20.6,87.4,41.3,98.3,58.1,465.0,1.0,6.7,466.0
170800000,17080,988.0,196.6,122.5,187.0,229.0,170.3,82.5,804.3,20.7,31.7,15.5,122.9,132.8,127.6,237.8,115.3,982.9,5.1,9.4,959.0
170910000,17091,2002.0,356.7,277.8,364.0,430.9,371.0,201.5,1673.3,40.3,95.2,60.2,229.2,275.5,220.2,548.6,204.1,1981.3,20.7,31.9,1948.0
170940101,17094,3148.8,368.8,433.3,423.8,564.3,856.4,502.2,2850.2,0.0,98.1,223.3,353.6,349.4,153.2,1357.6,315.0,3103.3,45.5,100.5,3081.5
170940102,17094,3078.2,287.2,318.6,293.6,522.6,939.6,716.6,2807.1,4.4,192.3,263.4,242.2,223.9,123.8,1420.3,336.8,3027.7,50.5,84.4,3003.5
171070000,17107,1538.0,314.9,212.7,360.8,308.1,239.8,101.7,1195.2,13.5,29.0,84.1,188.8,269.6,216.6,264.4,129.3,1523.3,14.7,21.5,1532.0
171090000,17109,1441.0,274.3,168.2,308.6,313.9,253.7,122.3,1185.5,16.4,64.7,143.5,244.0,195.2,79.0,337.3,105.5,1420.5,20.5,38.0,1404.3
