COMMUNE,n_transactions_2011,n_transactions_2024,price_per_m2_2011_eur,price_per_m2_2024_eur,annual_growth_rate_pct
17003,47,53,1970.6,2876.1,2.951
17007,1,2,1458.3,2343.0,3.714
17008,21,10,1859.9,2275.5,1.563
17009,14,26,1741.2,2705.8,3.449
17010,57,54,2992.0,3963.3,2.186
17018,8,14,1674.6,1905.0,0.996
17028,161,136,2663.9,3712.0,2.585
17032,4,10,1581.9,2609.3,3.925
17041,8,22,1787.6,1792.7,0.022
17057,14,8,1531.4,2126.5,2.557
17059,10,16,2252.6,3232.0,2.816
17063,4,1,994.2,1321.4,2.213
17080,7,16,1507.3,1803.4,1.389
17091,16,29,1501.0,2378.1,3.603
17094,159,126,3500.7,4824.8,2.498
17107,7,16,1226.0,2205.1,4.619
17109,17,17,2167.8,3120.1,2.841
17127,17,39,1524.2,1814.3,1.349
17132,7,5,1126.1,1041.2,-0.601
17136,11,15,2104.3,2614.1,1.683
17142,53,56,2404.6,3658.3,3.281
17153,24,18,1577.4,2942.9,4.914
17158,8,14,1495.9,2695.5,4.634
17166,7,12,1743.4,1983.8,0.999
17174,13,10,1288.8,1668.9,2.008
17182,8,6,1147.5,1168.8,0.141
17186,9,11,1288.3,2030.4,3.561
17190,29,25,2675.5,4121.1,3.379
17193,22,29,2228.2,3130.9,2.651
17194,31,40,2183.9,2906.4,2.223
17200,85,110,2679.5,3965.0,3.06
17201,7,2,1496.5,1400.0,-0.512
17203,11,9,1701.7,2192.6,1.969
17208,7,13,1984.8,2089.5,0.396
17218,65,54,1509.5,1877.4,1.692
17221,15,16,1274.3,1264.1,-0.062
17222,46,46,2686.4,3996.1,3.102
17245,3,1,1775.9,4028.8,6.504
17264,65,67,2680.0,3565.5,2.22
17267,8,16,1411.2,2638.7,4.932
17274,131,94,2775.5,3852.1,2.553
17291,71,86,2376.0,3491.7,3.006
17293,6,2,1152.6,1506.6,2.081
17300,1379,1189,3242.7,4699.9,2.896
17303,15,16,1370.7,1534.0,0.87
17315,11,14,1921.7,2405.9,1.744
17321,6,6,1358.1,1480.9,0.668
17322,5,7,1010.4,1806.6,4.571
17338,14,15,1306.1,1650.6,1.817
17340,13,15,1446.9,1466.5,0.104
17349,35,25,1533.6,2078.1,2.365
17359,13,13,1273.7,1749.6,2.472
17373,21,22,1941.0,2444.2,1.789
17376,12,21,1806.3,2784.9,3.386
17382,5,8,1391.5,1831.6,2.137
17391,22,14,2354.3,3478.2,3.048
17394,7,12,1104.5,1217.1,0.749
17396,18,15,1666.7,2332.9,2.62
17407,34,52,2068.0,2900.0,2.635
17413,15,14,2505.6,3480.5,2.56
17414,45,56,2192.3,3196.6,2.943
17420,22,18,2244.2,3060.6,2.415
17434,55,95,1512.9,1914.6,1.828
17439,6,12,1384.4,1461.0,0.416
17443,20,23,1974.5,2433.8,1.622
17447,13,23,1841.8,2575.9,2.614
17457,7,29,1580.9,1793.4,0.975
17466,21,23,1836.8,2403.2,2.089
17472,29,19,2071.4,2900.6,2.624
17480,7,5,1457.7,2185.9,3.166
17482,7,7,1362.8,1604.0,1.261
17483,19,17,4014.5,2846.1,-2.611
