IRIS,n_transactions_2011,n_transactions_2024,price_per_m2_2011_eur,price_per_m2_2024_eur,annual_growth_rate_pct
170030000,47,53,1970.6,2876.1,2.951
170070000,1,2,1458.3,2343.0,3.714
170080000,21,10,1859.9,2275.5,1.563
170090000,14,26,1741.2,2705.8,3.449
170100000,57,54,2992.0,3963.3,2.186
170180000,8,14,1674.6,1905.0,0.996
170280101,6,11,1987.4,3198.8,3.729
170280102,27,19,3462.4,3829.2,0.778
170280103,96,67,2524.0,3997.1,3.6
170280104,32,40,2598.0,3429.0,2.158
170320000,4,10,1581.9,2609.3,3.925
170410000,8,22,1787.6,1792.7,0.022
170570000,14,8,1531.4,2126.5,2.557
170590000,10,16,2252.6,3232.0,2.816
170630000,4,1,994.2,1321.4,2.213
170800000,7,16,1507.3,1803.4,1.389
170910000,16,29,1501.0,2378.1,3.603
170940101,36,50,2871.7,4464.9,3.453
170940102,123,76,3771.6,5115.6,2.372
171070000,7,16,1226.0,2205.1,4.619
171090000,17,17,2167.8,3120.1,2.841
171270000,17,39,1524.2,1814.3,1.349
171320000,7,5,1126.1,1041.2,-0.601
171360000,11,15,2104.3,2614.1,1.683
171420000,52,55,2416.3,3654.7,3.234
171530000,24,18,1577.4,2942.9,4.914
171580000,8,14,1495.9,2695.5,4.634
171660000,7,12,1743.4,1983.8,0.999
171740000,13,10,1288.8,1668.9,2.008
171820000,8,6,1147.5,1168.8,0.141
171860000,9,11,1288.3,2030.4,3.561
171900000,29,26,2675.5,4089.3,3.317
171930000,24,29,2251.0,3130.9,2.57
171940000,31,40,2183.9,2906.4,2.223
172000101,25,31,2728.7,3777.3,2.533
172000102,23,29,2635.1,4419.7,4.058
172000103,37,50,2672.7,3812.0,2.769
172010000,7,2,1496.5,1400.0,-0.512
172030000,11,9,1701.7,2192.6,1.969
172080000,7,13,1984.8,2089.5,0.396
172180000,65,54,1509.5,1877.4,1.692
172210000,15,16,1274.3,1264.1,-0.062
172220000,46,46,2686.4,3996.1,3.102
172450000,3,1,1775.9,4028.8,6.504
172640101,29,31,2782.6,3365.5,1.474
172640102,37,37,2573.8,3751.8,2.941
172670000,8,16,1411.2,2638.7,4.932
172740101,26,35,2796.7,3788.2,2.362
172740102,22,25,2204.3,3875.1,4.435
172740103,83,35,3003.4,3909.1,2.048
172910000,70,84,2387.9,3456.4,2.885
172930000,6,2,1152.6,1506.6,2.081
173000101,88,71,3192.0,5623.6,4.453
173000102,99,57,3364.7,5704.6,4.145
173000103,99,60,3224.7,5111.5,3.607
173000104,123,58,3819.4,5615.5,3.009
173000201,56,46,3311.2,5706.7,4.276
173000202,81,58,3947.6,5666.9,2.82
173000301,39,31,3441.4,4824.4,2.633
173000302,34,21,2699.7,4111.5,3.289
173000401,3,7,2518.9,4625.7,4.787
173000402,17,16,2272.1,3267.0,2.833
173000403,39,54,2708.2,3292.6,1.514
173000501,13,15,2182.6,3526.4,3.759
173000502,2,1,2152.8,2944.4,2.438
173000503,20,20,1884.4,3005.3,3.656
173000504,6,5,1782.0,2628.7,3.036
173000505,19,16,1830.8,2532.6,2.527
173000601,45,39,2728.7,3806.8,2.595
173000602,24,61,2155.5,3369.6,3.496
173000603,50,60,3087.1,5411.6,4.412
173000701,28,30,3278.6,4909.1,3.154
173000702,50,42,3479.2,4629.1,2.221
173000703,37,26,3649.4,3960.9,0.632
173000801,69,61,3186.8,3948.5,1.662
173000802,26,48,2777.2,4768.1,4.245
173000901,16,14,2365.0,3661.0,3.419
173000902,3,4,2512.8,3046.5,1.493
173000903,4,10,1949.2,3027.7,3.446
173000904,7,4,1917.4,3029.5,3.581
173001001,86,84,4157.7,6051.1,2.929
173001002,124,93,4070.2,5624.3,2.519
173001003,72,75,2782.5,4525.5,3.812
173030000,15,16,1370.7,1534.0,0.87
173150000,11,14,1921.7,2405.9,1.744
173210000,6,6,1358.1,1480.9,0.668
173220000,5,7,1010.4,1806.6,4.571
173380000,14,15,1306.1,1650.6,1.817
173400000,13,15,1446.9,1466.5,0.104
173490000,35,25,1533.6,2078.1,2.365
173590000,13,13,1273.7,1749.6,2.472
173730000,21,22,1941.0,2444.2,1.789
173760000,11,21,1813.5,2784.9,3.355
173820000,5,8,1391.5,1831.6,2.137
173910000,20,14,2340.6,3478.2,3.094
173940000,7,12,1104.5,1217.1,0.749
173960000,18,15,1666.7,2332.9,2.62
174070000,36,53,2053.0,2913.5,2.729
174130000,15,14,2505.6,3480.5,2.56
174140000,45,56,2192.3,3196.6,2.943
174200000,22,18,2244.2,3060.6,2.415
174340101,25,39,1599.7,2015.1,1.792
174340102,15,26,1396.6,1683.0,1.445
174340103,15,30,1471.7,1965.0,2.249
174390000,6,12,1384.4,1461.0,0.416
174430000,20,23,1974.5,2433.8,1.622
174470000,13,23,1841.8,2575.9,2.614
174570000,7,29,1580.9,1793.4,0.975
174660000,21,23,1836.8,2403.2,2.089
174720000,29,19,2071.4,2900.6,2.624
174800000,7,5,1457.7,2185.9,3.166
174820000,7,7,1362.8,1604.0,1.261
174830000,19,17,4014.5,2846.1,-2.611
